#subject	block	trial	condition	change	responses	time	prev_condition	prev_change	color
105	1	1	2	1	202	563	0	0	4
105	1	2	6	0	201	519	2	1	7
105	1	3	6	1	202	557	6	0	3
105	1	4	4	1	202	649	6	1	1
105	1	5	6	0	201	553	4	1	3
105	1	6	4	1	202	438	6	0	8
105	1	7	4	0	201	446	4	1	1
105	1	8	2	1	211	544	4	0	4
105	1	9	2	1	202	605	2	1	1
105	1	10	4	0	201	742	2	1	8
105	1	11	8	1	202	508	4	0	8
105	1	12	2	0	201	650	8	1	4
105	1	13	8	1	202	755	2	0	3
105	1	14	8	0	201	855	8	1	4
105	1	15	8	1	202	624	8	0	3
105	1	16	8	1	202	681	8	1	5
105	1	17	6	1	211	721	8	1	6
105	1	18	2	0	201	526	6	1	5
105	1	19	4	1	202	508	2	0	1
105	1	20	2	0	201	475	4	1	8
105	1	21	2	0	201	379	2	0	8
105	1	22	2	1	202	510	2	0	5
105	1	23	6	1	202	493	2	1	1
105	1	24	2	1	202	564	6	1	8
105	1	25	8	1	202	472	2	1	5
105	1	26	4	1	202	544	8	1	2
105	1	27	2	1	202	413	4	1	6
105	1	28	4	1	202	575	2	1	5
105	1	29	4	1	202	579	4	1	1
105	1	30	6	1	202	647	4	1	7
105	1	31	8	1	202	552	6	1	5
105	1	32	2	1	202	612	8	1	1
105	1	33	2	0	201	566	2	1	6
105	1	34	6	1	202	627	2	0	4
105	1	35	4	0	201	741	6	1	2
105	1	36	6	1	202	585	4	0	4
105	1	37	8	0	212	829	6	1	2
105	1	38	8	0	201	415	8	0	2
105	1	39	4	0	201	633	8	0	8
105	1	40	8	0	212	594	4	0	1
105	1	41	4	1	202	461	8	0	6
105	1	42	8	0	212	661	4	1	2
105	1	43	6	0	201	542	8	0	5
105	1	44	2	0	201	563	6	0	4
105	1	45	4	0	201	479	2	0	2
105	1	46	4	0	201	512	4	0	8
105	1	47	4	1	202	430	4	0	3
105	1	48	8	1	202	655	4	1	8
105	1	49	6	0	212	672	8	1	4
105	1	50	6	0	201	416	6	0	4
105	1	51	4	0	201	505	6	0	7
105	1	52	2	0	201	304	4	0	4
105	1	53	8	0	201	541	2	0	2
105	1	54	2	0	201	387	8	0	2
105	1	55	6	0	212	373	2	0	4
105	1	56	8	0	212	481	6	0	1
105	1	57	2	1	202	465	8	0	8
105	1	58	8	0	201	610	2	1	8
105	1	59	6	1	202	604	8	0	8
105	1	60	6	1	202	695	6	1	5
105	1	61	6	0	201	678	6	1	6
105	1	62	8	1	202	509	6	0	6
105	1	63	4	0	201	699	8	1	5
105	1	64	6	0	201	586	4	0	1
105	1	65	2	1	202	389	6	0	1
105	2	1	6	1	202	572	0	0	5
105	2	2	6	1	202	607	6	1	5
105	2	3	4	1	211	561	6	1	7
105	2	4	4	0	201	654	4	1	3
105	2	5	4	1	202	414	4	0	1
105	2	6	6	1	211	800	4	1	3
105	2	7	2	0	201	402	6	1	2
105	2	8	8	1	211	749	2	0	4
105	2	9	6	1	202	633	8	1	3
105	2	10	4	0	201	426	6	1	7
105	2	11	6	0	201	316	4	0	5
105	2	12	2	1	202	329	6	0	4
105	2	13	2	1	202	448	2	1	8
105	2	14	6	0	201	665	2	1	5
105	2	15	4	0	201	793	6	0	1
105	2	16	4	0	201	653	4	0	4
105	2	17	8	1	202	454	4	0	2
105	2	18	8	0	201	662	8	1	4
105	2	19	2	0	201	622	8	0	3
105	2	20	4	0	201	376	2	0	1
105	2	21	2	0	201	372	4	0	2
105	2	22	4	1	202	639	2	0	2
105	2	23	8	1	202	1064	4	1	2
105	2	24	6	0	212	681	8	1	1
105	2	25	2	0	201	553	6	0	4
105	2	26	6	1	202	406	2	0	2
105	2	27	8	1	211	488	6	1	2
105	2	28	2	0	201	615	8	1	4
105	2	29	2	1	202	458	2	0	4
105	2	30	4	1	211	642	2	1	6
105	2	31	4	1	202	419	4	1	7
105	2	32	2	1	202	420	4	1	8
105	2	33	8	1	202	391	2	1	6
105	2	34	2	1	202	498	8	1	5
105	2	35	8	0	212	529	2	1	7
105	2	36	2	1	202	431	8	0	3
105	2	37	6	1	202	866	2	1	7
105	2	38	8	0	201	577	6	1	2
105	2	39	6	1	202	429	8	0	1
105	2	40	6	0	201	647	6	1	2
105	2	41	6	1	202	527	6	0	7
105	2	42	2	1	202	429	6	1	6
105	2	43	2	0	201	367	2	1	5
105	2	44	6	0	212	474	2	0	1
105	2	45	4	1	202	434	6	0	4
105	2	46	6	0	201	675	4	1	5
105	2	47	8	0	212	467	6	0	2
105	2	48	6	0	212	458	8	0	1
105	2	49	6	0	212	772	6	0	3
105	2	50	8	1	202	463	6	0	8
105	2	51	4	0	201	535	8	1	4
105	2	52	2	1	202	445	4	0	7
105	2	53	4	0	201	486	2	1	2
105	2	54	8	0	201	684	4	0	8
105	2	55	8	1	202	659	8	0	1
105	2	56	8	1	211	788	8	1	2
105	2	57	4	1	202	911	8	1	7
105	2	58	8	0	212	614	4	1	7
105	2	59	4	1	202	489	8	0	4
105	2	60	2	0	201	455	4	1	6
105	2	61	2	0	201	632	2	0	5
105	2	62	8	0	201	497	2	0	2
105	2	63	8	0	201	577	8	0	5
105	2	64	4	0	201	581	8	0	1
105	2	65	6	1	202	544	4	0	1
105	3	1	2	1	202	540	0	0	5
105	3	2	8	1	211	520	2	1	2
105	3	3	8	1	202	358	8	1	7
105	3	4	2	1	202	379	8	1	1
105	3	5	4	1	202	431	2	1	2
105	3	6	6	0	201	385	4	1	4
105	3	7	2	0	201	388	6	0	2
105	3	8	6	1	202	511	2	0	8
105	3	9	6	1	202	566	6	1	6
105	3	10	4	1	202	489	6	1	8
105	3	11	4	0	201	457	4	1	3
105	3	12	4	0	201	529	4	0	2
105	3	13	6	0	201	455	4	0	2
105	3	14	4	0	212	399	6	0	7
105	3	15	8	0	201	561	4	0	6
105	3	16	8	0	212	782	8	0	6
105	3	17	6	1	202	553	8	0	2
105	3	18	8	0	212	582	6	1	6
105	3	19	4	1	211	593	8	0	7
105	3	20	8	0	212	477	4	1	2
105	3	21	2	1	202	469	8	0	3
105	3	22	8	0	201	428	2	1	1
105	3	23	2	0	201	741	8	0	7
105	3	24	8	1	202	435	2	0	6
105	3	25	2	0	201	420	8	1	3
105	3	26	4	0	201	573	2	0	5
105	3	27	2	0	201	321	4	0	8
105	3	28	4	1	202	606	2	0	7
105	3	29	2	0	201	472	4	1	8
105	3	30	8	0	212	521	2	0	3
105	3	31	8	1	202	391	8	0	3
105	3	32	6	0	212	506	8	1	1
105	3	33	4	1	202	432	6	0	6
105	3	34	4	1	202	505	4	1	6
105	3	35	6	1	202	671	4	1	4
105	3	36	6	0	201	439	6	1	1
105	3	37	6	0	212	537	6	0	6
105	3	38	6	1	202	493	6	0	7
105	3	39	4	0	212	717	6	1	5
105	3	40	4	1	202	595	4	0	1
105	3	41	8	1	202	591	4	1	1
105	3	42	8	0	201	545	8	1	5
105	3	43	4	0	201	359	8	0	1
105	3	44	8	1	202	507	4	0	2
105	3	45	6	1	202	394	8	1	4
105	3	46	2	0	201	309	6	1	5
105	3	47	2	0	201	508	2	0	6
105	3	48	6	0	201	458	2	0	4
105	3	49	8	0	201	627	6	0	3
105	3	50	6	0	201	572	8	0	5
105	3	51	8	1	202	536	6	0	6
105	3	52	4	0	201	477	8	1	6
105	3	53	6	1	211	685	4	0	3
105	3	54	8	1	202	477	6	1	1
105	3	55	4	1	202	461	8	1	4
105	3	56	2	1	202	485	4	1	8
105	3	57	4	0	212	539	2	1	7
105	3	58	2	1	202	392	4	0	3
105	3	59	6	0	212	524	2	1	3
105	3	60	2	1	202	457	6	0	4
105	3	61	2	1	202	377	2	1	8
105	3	62	2	0	201	340	2	1	3
105	3	63	2	1	202	418	2	0	8
105	3	64	6	1	202	355	2	1	3
105	3	65	2	1	202	369	6	1	1
105	4	1	2	0	201	639	0	0	1
105	4	2	8	0	212	593	2	0	4
105	4	3	4	1	202	571	8	0	2
105	4	4	4	1	202	416	4	1	1
105	4	5	8	0	201	570	4	1	5
105	4	6	6	0	212	422	8	0	1
105	4	7	8	0	212	735	6	0	4
105	4	8	2	0	201	444	8	0	6
105	4	9	4	0	212	461	2	0	3
