#subject	block	trial	condition	setsize	change	time	responses	time	Pic	prev_condition	prev_setsize	prev_change	prev_time
204	1	1	3	2	0	2000	201	671	NoChange	0	0	0	
204	1	2	3	6	1	2000	202	1007	1	3	2	0	2000
204	1	3	3	4	1	2000	211	963	2	3	6	1	2000
204	1	4	1	6	0	2000	201	952	NoChange	3	4	1	2000
204	1	5	4	4	0	2000	201	733	NoChange	1	6	0	2000
204	1	6	3	6	1	2000	211	835	3	4	4	0	2000
204	1	7	3	2	0	2000	201	853	NoChange	3	6	1	2000
204	1	8	4	6	0	2000	212	982	NoChange	3	2	0	2000
204	1	9	4	4	1	2000	202	858	1	4	6	0	2000
204	1	10	4	2	1	2000	202	779	2	4	4	1	2000
204	1	11	3	4	1	2000	202	968	4	4	2	1	2000
204	1	12	2	4	1	2000	202	860	1	3	4	1	2000
204	1	13	1	6	0	2000	201	1693	NoChange	2	4	1	2000
204	1	14	2	4	1	2000	202	622	2	1	6	0	2000
204	1	15	1	4	1	2000	202	968	57	2	4	1	2000
204	1	16	2	2	0	2000	201	781	NoChange	1	4	1	2000
204	1	17	2	2	1	2000	202	1409	3	2	2	0	2000
204	1	18	2	4	0	2000	201	821	NoChange	2	2	1	2000
204	1	19	4	6	1	2000	202	1007	3	2	4	0	2000
204	1	20	1	4	0	2000	201	850	NoChange	4	6	1	2000
204	1	21	3	4	0	2000	201	811	NoChange	1	4	0	2000
204	1	22	4	2	1	2000	202	807	4	3	4	0	2000
204	1	23	1	4	0	2000	201	762	NoChange	4	2	1	2000
204	1	24	4	6	1	2000	202	823	5	1	4	0	2000
204	1	25	4	2	0	2000	201	666	NoChange	4	6	1	2000
204	1	26	2	6	1	2000	211	1290	4	4	2	0	2000
204	1	27	3	6	0	2000	201	802	NoChange	2	6	1	2000
204	1	28	4	4	0	2000	201	805	NoChange	3	6	0	2000
204	1	29	1	6	1	2000	202	760	111	4	4	0	2000
204	1	30	1	2	1	2000	202	694	114	1	6	1	2000
204	1	31	2	6	0	2000	201	773	NoChange	1	2	1	2000
204	1	32	1	6	1	2000	202	698	127	2	6	0	2000
204	1	33	1	2	1	2000	202	538	130	1	6	1	2000
204	1	34	3	6	0	2000	201	1023	NoChange	1	2	1	2000
204	1	35	3	4	0	2000	201	722	NoChange	3	6	0	2000
204	1	36	3	2	1	2000	202	1353	5	3	4	0	2000
204	1	37	2	6	1	2000	211	854	5	3	2	1	2000
204	1	38	3	2	1	2000	211	1063	6	2	6	1	2000
204	1	39	1	2	0	2000	212	2753	NoChange	3	2	1	2000
204	1	40	4	4	1	2000	202	895	6	1	2	0	2000
204	1	41	4	2	0	2000	201	678	NoChange	4	4	1	2000
204	1	42	4	6	0	2000	201	831	NoChange	4	2	0	2000
204	1	43	1	2	0	2000	201	673	NoChange	4	6	0	2000
204	1	44	2	4	0	2000	201	1370	NoChange	1	2	0	2000
204	1	45	1	4	1	2000	202	807	171	2	4	0	2000
204	1	46	2	6	0	2000	201	1594	NoChange	1	4	1	2000
204	1	47	2	2	1	2000	202	494	6	2	6	0	2000
204	1	48	2	2	0	2000	201	702	NoChange	2	2	1	2000
204	2	1	4	4	0	2000	201	1291	NoChange	0	0	0	
204	2	2	1	2	0	2000	201	627	NoChange	4	4	0	2000
204	2	3	3	4	1	2000	202	806	7	1	2	0	2000
204	2	4	2	6	1	2000	202	593	7	3	4	1	2000
204	2	5	3	6	1	2000	202	669	8	2	6	1	2000
204	2	6	2	6	0	2000	201	589	NoChange	3	6	1	2000
204	2	7	1	4	0	2000	201	1057	NoChange	2	6	0	2000
204	2	8	1	2	1	2000	202	642	212	1	4	0	2000
204	2	9	4	4	0	2000	201	996	NoChange	1	2	1	2000
204	2	10	2	2	1	2000	202	1144	8	4	4	0	2000
204	2	11	1	4	1	2000	202	774	222	2	2	1	2000
204	2	12	3	6	0	2000	201	1434	NoChange	1	4	1	2000
204	2	13	4	6	1	2000	202	788	7	3	6	0	2000
204	2	14	4	2	1	2000	202	2000	8	4	6	1	2000
204	2	15	2	4	1	2000	202	740	9	4	2	1	2000
204	2	16	1	6	1	2000	202	666	244	2	4	1	2000
204	2	17	3	4	0	2000	201	682	NoChange	1	6	1	2000
204	2	18	3	6	1	2000	202	922	9	3	4	0	2000
204	2	19	2	6	0	2000	201	953	NoChange	3	6	1	2000
204	2	20	2	4	0	2000	212	862	NoChange	2	6	0	2000
204	2	21	4	2	1	2000	202	711	9	2	4	0	2000
204	2	22	3	2	0	2000	201	822	NoChange	4	2	1	2000
204	2	23	3	4	0	2000	212	1609	NoChange	3	2	0	2000
204	2	24	3	2	0	2000	201	748	NoChange	3	4	0	2000
204	2	25	4	6	0	2000	212	1385	NoChange	3	2	0	2000
204	2	26	4	2	0	2000	201	813	NoChange	4	6	0	2000
204	2	27	1	4	1	2000	202	1001	285	4	2	0	2000
204	2	28	1	6	1	2000	202	772	292	1	4	1	2000
204	2	29	4	6	1	2000	202	640	10	1	6	1	2000
204	2	30	4	6	0	2000	212	898	NoChange	4	6	1	2000
204	2	31	2	4	0	2000	201	649	NoChange	4	6	0	2000
204	2	32	1	4	0	2000	201	923	NoChange	2	4	0	2000
204	2	33	4	2	0	2000	201	633	NoChange	1	4	0	2000
204	2	34	4	4	1	2000	202	819	11	4	2	0	2000
204	2	35	2	2	0	2000	201	622	NoChange	4	4	1	2000
204	2	36	2	2	1	2000	202	496	10	2	2	0	2000
204	2	37	2	2	0	2000	201	664	NoChange	2	2	1	2000
204	2	38	3	2	1	2000	202	857	10	2	2	0	2000
204	2	39	1	6	0	2000	201	1554	NoChange	3	2	1	2000
204	2	40	2	4	1	2000	202	951	11	1	6	0	2000
204	2	41	2	6	1	2000	202	581	12	2	4	1	2000
204	2	42	4	4	1	2000	202	3713	12	2	6	1	2000
204	2	43	3	2	1	2000	202	690	11	4	4	1	2000
204	2	44	1	2	1	2000	202	601	343	3	2	1	2000
204	2	45	3	6	0	2000	212	700	NoChange	1	2	1	2000
204	2	46	3	4	1	2000	202	1220	12	3	6	0	2000
204	2	47	1	6	0	2000	212	798	NoChange	3	4	1	2000
204	2	48	1	2	0	2000	201	665	NoChange	1	6	0	2000
204	3	1	4	4	0	2000	201	506	NoChange	0	0	0	
204	3	2	2	2	1	2000	202	1129	13	4	4	0	2000
204	3	3	4	2	0	2000	201	760	NoChange	2	2	1	2000
204	3	4	1	6	0	2000	201	1325	NoChange	4	2	0	2000
204	3	5	4	4	0	2000	212	692	NoChange	1	6	0	2000
204	3	6	1	2	1	2000	202	460	380	4	4	0	2000
204	3	7	1	4	0	2000	201	741	NoChange	1	2	1	2000
204	3	8	1	2	1	2000	202	538	387	1	4	0	2000
204	3	9	4	6	1	2000	211	776	13	1	2	1	2000
