"","subject","block","trial","condition","change","responses","time","prev_condition","prev_change","color","answer_change","answer_correct","signal_detection","age"
"1",101,1,1,4,1,202,977,0,0,6,1,1,3,"young"
"2",101,1,2,4,0,201,1012,4,1,6,0,1,1,"young"
"3",101,1,3,6,0,212,1295,4,0,4,1,0,0,"young"
"4",101,1,4,2,0,201,1759,6,0,2,0,1,1,"young"
"5",101,1,5,2,0,201,756,2,0,5,0,1,1,"young"
"6",101,1,6,4,1,202,1377,2,0,6,1,1,3,"young"
"7",101,1,7,8,1,211,2621,4,1,5,0,0,2,"young"
"8",101,1,8,2,1,202,1167,8,1,5,1,1,3,"young"
"9",101,1,9,8,0,212,1428,2,1,1,1,0,0,"young"
"10",101,1,10,4,1,202,879,8,0,4,1,1,3,"young"
"11",101,1,11,6,0,201,1950,4,1,5,0,1,1,"young"
"12",101,1,12,8,1,202,1244,6,0,8,1,1,3,"young"
"13",101,1,13,6,0,201,3700,8,1,5,0,1,1,"young"
"14",101,1,14,8,0,212,1020,6,0,4,1,0,0,"young"
"15",101,1,15,4,0,212,2679,8,0,1,1,0,0,"young"
"16",101,1,16,4,0,212,1773,4,0,5,1,0,0,"young"
"17",101,1,17,2,1,202,1034,4,0,3,1,1,3,"young"
"18",101,1,18,6,1,202,1779,2,1,4,1,1,3,"young"
"19",101,1,19,8,1,202,1456,6,1,2,1,1,3,"young"
"20",101,1,20,4,0,201,1609,8,1,1,0,1,1,"young"
"21",101,1,21,4,1,202,1821,4,0,4,1,1,3,"young"
"22",101,1,22,4,1,202,2151,4,1,5,1,1,3,"young"
"23",101,1,23,6,1,202,1765,4,1,1,1,1,3,"young"
"24",101,1,24,2,1,202,928,6,1,2,1,1,3,"young"
"25",101,1,25,2,0,201,1510,2,1,1,0,1,1,"young"
"26",101,1,26,4,0,212,1782,2,0,6,1,0,0,"young"
"27",101,1,27,6,1,202,2114,4,0,5,1,1,3,"young"
"28",101,1,28,6,1,202,1801,6,1,6,1,1,3,"young"
"29",101,1,29,8,0,201,2259,6,1,5,0,1,1,"young"
"30",101,1,30,8,0,212,2188,8,0,1,1,0,0,"young"
"31",101,1,31,8,1,211,1440,8,0,1,0,0,2,"young"
"32",101,1,32,8,1,202,1643,8,1,7,1,1,3,"young"
"33",101,1,33,6,1,202,1371,8,1,4,1,1,3,"young"
"34",101,1,34,4,0,201,1800,6,1,4,0,1,1,"young"
"35",101,1,35,2,0,201,859,4,0,4,0,1,1,"young"
"36",101,1,36,2,1,202,1084,2,0,7,1,1,3,"young"
"37",101,1,37,6,0,212,1468,2,1,1,1,0,0,"young"
"38",101,1,38,4,0,201,3876,6,0,2,0,1,1,"young"
"39",101,1,39,8,0,201,1477,4,0,1,0,1,1,"young"
"40",101,1,40,6,0,212,1158,8,0,5,1,0,0,"young"
"41",101,1,41,6,0,201,1738,6,0,5,0,1,1,"young"
"42",101,1,42,4,1,202,937,6,0,7,1,1,3,"young"
"43",101,1,43,2,0,201,1270,4,1,3,0,1,1,"young"
"44",101,1,44,6,1,202,1486,2,0,1,1,1,3,"young"
"45",101,1,45,2,0,201,1159,6,1,2,0,1,1,"young"
"46",101,1,46,6,0,212,1252,2,0,3,1,0,0,"young"
"47",101,1,47,6,1,202,2917,6,0,1,1,1,3,"young"
"48",101,1,48,6,0,201,3666,6,1,5,0,1,1,"young"
"49",101,1,49,2,1,202,803,6,0,5,1,1,3,"young"
"50",101,1,50,2,1,202,910,2,1,3,1,1,3,"young"
"51",101,1,51,4,0,201,1012,2,1,3,0,1,1,"young"
"52",101,1,52,8,1,202,1063,4,0,2,1,1,3,"young"
"53",101,1,53,2,0,201,1070,8,1,4,0,1,1,"young"
"54",101,1,54,8,0,201,4703,2,0,1,0,1,1,"young"
"55",101,1,55,2,1,202,790,8,0,6,1,1,3,"young"
"56",101,1,56,8,1,211,6275,2,1,7,0,0,2,"young"
"57",101,1,57,8,0,212,877,8,1,4,1,0,0,"young"
"58",101,1,58,2,0,201,1500,8,0,2,0,1,1,"young"
"59",101,1,59,8,1,202,1602,2,0,7,1,1,3,"young"
"60",101,1,60,4,1,202,837,8,1,7,1,1,3,"young"
"61",101,1,61,8,0,212,2591,4,1,8,1,0,0,"young"
"62",101,1,62,6,1,211,5906,8,0,7,0,0,2,"young"
"63",101,1,63,4,1,202,1053,6,1,2,1,1,3,"young"
"64",101,1,64,2,1,202,718,4,1,6,1,1,3,"young"
"65",101,1,65,4,1,202,1860,2,1,8,1,1,3,"young"
"66",101,2,1,6,0,201,1990,0,0,7,0,1,1,"young"
"67",101,2,2,4,0,212,1169,6,0,3,1,0,0,"young"
"68",101,2,3,4,1,202,783,4,0,1,1,1,3,"young"
"69",101,2,4,4,0,201,1881,4,1,5,0,1,1,"young"
"70",101,2,5,8,1,202,898,4,0,6,1,1,3,"young"
"71",101,2,6,8,1,202,1617,8,1,5,1,1,3,"young"
"72",101,2,7,4,0,212,971,8,1,3,1,0,0,"young"
"73",101,2,8,6,1,202,815,4,0,6,1,1,3,"young"
"74",101,2,9,2,1,202,890,6,1,7,1,1,3,"young"
"75",101,2,10,6,1,202,1081,2,1,3,1,1,3,"young"
"76",101,2,11,4,1,202,1258,6,1,7,1,1,3,"young"
"77",101,2,12,4,1,202,818,4,1,6,1,1,3,"young"
"78",101,2,13,8,1,202,765,4,1,6,1,1,3,"young"
"79",101,2,14,2,0,201,794,8,1,3,0,1,1,"young"
"80",101,2,15,4,0,201,1212,2,0,5,0,1,1,"young"
"81",101,2,16,2,0,201,1630,4,0,7,0,1,1,"young"
"82",101,2,17,8,1,202,2137,2,0,1,1,1,3,"young"
"83",101,2,18,6,0,201,2078,8,1,1,0,1,1,"young"
"84",101,2,19,8,0,201,720,6,0,7,0,1,1,"young"
"85",101,2,20,6,0,212,2599,8,0,3,1,0,0,"young"
"86",101,2,21,4,1,202,2162,6,0,1,1,1,3,"young"
"87",101,2,22,8,0,212,1824,4,1,6,1,0,0,"young"
"88",101,2,23,8,0,201,3010,8,0,5,0,1,1,"young"
"89",101,2,24,4,1,202,1557,8,0,3,1,1,3,"young"
"90",101,2,25,6,1,202,1745,4,1,8,1,1,3,"young"
"91",101,2,26,6,0,201,2248,6,1,1,0,1,1,"young"
"92",101,2,27,6,1,202,1480,6,0,3,1,1,3,"young"
"93",101,2,28,4,0,201,1826,6,1,5,0,1,1,"young"
"94",101,2,29,2,1,202,1116,4,0,5,1,1,3,"young"
"95",101,2,30,2,1,202,1154,2,1,6,1,1,3,"young"
"96",101,2,31,8,1,202,1847,2,1,6,1,1,3,"young"
"97",101,2,32,4,1,202,1106,8,1,8,1,1,3,"young"
"98",101,2,33,2,0,201,958,4,1,5,0,1,1,"young"
"99",101,2,34,6,1,202,1157,2,0,3,1,1,3,"young"
"100",101,2,35,8,1,202,1776,6,1,5,1,1,3,"young"
"101",101,2,36,6,1,202,908,8,1,1,1,1,3,"young"
"102",101,2,37,6,1,202,892,6,1,4,1,1,3,"young"
"103",101,2,38,8,0,201,1627,6,1,4,0,1,1,"young"
"104",101,2,39,6,1,202,918,8,0,8,1,1,3,"young"
"105",101,2,40,2,0,201,756,6,1,2,0,1,1,"young"
"106",101,2,41,2,0,212,665,2,0,6,1,0,0,"young"
"107",101,2,42,4,1,202,1634,2,0,3,1,1,3,"young"
"108",101,2,43,6,0,201,1387,4,1,6,0,1,1,"young"
"109",101,2,44,2,1,202,1199,6,0,4,1,1,3,"young"
"110",101,2,45,8,0,212,1369,2,1,6,1,0,0,"young"
"111",101,2,46,2,0,201,1029,8,0,7,0,1,1,"young"
"112",101,2,47,2,1,202,840,2,0,1,1,1,3,"young"
"113",101,2,48,2,0,201,1082,2,1,1,0,1,1,"young"
"114",101,2,49,6,0,201,1179,2,0,5,0,1,1,"young"
"115",101,2,50,6,0,212,999,6,0,8,1,0,0,"young"
"116",101,2,51,8,1,202,2146,6,0,6,1,1,3,"young"
"117",101,2,52,8,0,212,2511,8,1,8,1,0,0,"young"
"118",101,2,53,2,1,202,1631,8,0,5,1,1,3,"young"
"119",101,2,54,4,1,202,1343,2,1,3,1,1,3,"young"
"120",101,2,55,2,1,202,1023,4,1,8,1,1,3,"young"
"121",101,2,56,6,0,212,991,2,1,2,1,0,0,"young"
"122",101,2,57,2,0,201,916,6,0,7,0,1,1,"young"
"123",101,2,58,8,0,212,1337,2,0,4,1,0,0,"young"
"124",101,2,59,4,0,201,975,8,0,5,0,1,1,"young"
"125",101,2,60,8,0,201,869,4,0,4,0,1,1,"young"
"126",101,2,61,8,1,202,932,8,0,3,1,1,3,"young"
"127",101,2,62,2,1,202,962,8,1,8,1,1,3,"young"
"128",101,2,63,4,0,201,1545,2,1,6,0,1,1,"young"
"129",101,2,64,4,0,201,1486,4,0,4,0,1,1,"young"
"130",101,2,65,6,0,212,1518,4,0,3,1,0,0,"young"
"131",101,3,1,6,0,201,2096,0,0,8,0,1,1,"young"
"132",101,3,2,8,1,202,952,6,0,3,1,1,3,"young"
"133",101,3,3,8,1,202,1061,8,1,2,1,1,3,"young"
"134",101,3,4,8,0,212,1279,8,1,8,1,0,0,"young"
"135",101,3,5,4,0,201,765,8,0,4,0,1,1,"young"
"136",101,3,6,2,0,201,1123,4,0,3,0,1,1,"young"
"137",101,3,7,4,0,201,560,2,0,1,0,1,1,"young"
"138",101,3,8,4,0,201,981,4,0,2,0,1,1,"young"
"139",101,3,9,8,0,212,945,4,0,6,1,0,0,"young"
"140",101,3,10,2,0,201,830,8,0,5,0,1,1,"young"
"141",101,3,11,2,1,202,969,2,0,5,1,1,3,"young"
"142",101,3,12,6,0,201,2942,2,1,8,0,1,1,"young"
"143",101,3,13,6,1,202,868,6,0,1,1,1,3,"young"
"144",101,3,14,4,0,201,1076,6,1,1,0,1,1,"young"
"145",101,3,15,8,1,202,1029,4,0,2,1,1,3,"young"
"146",101,3,16,2,1,202,744,8,1,3,1,1,3,"young"
"147",101,3,17,4,1,202,892,2,1,4,1,1,3,"young"
"148",101,3,18,8,1,202,900,4,1,1,1,1,3,"young"
"149",101,3,19,4,0,201,978,8,1,1,0,1,1,"young"
"150",101,3,20,6,0,212,1069,4,0,3,1,0,0,"young"
"151",101,3,21,2,0,201,1224,6,0,1,0,1,1,"young"
"152",101,3,22,2,0,201,1081,2,0,4,0,1,1,"young"
"153",101,3,23,4,1,202,1233,2,0,3,1,1,3,"young"
"154",101,3,24,4,1,202,1810,4,1,8,1,1,3,"young"
"155",101,3,25,2,1,202,997,4,1,1,1,1,3,"young"
"156",101,3,26,4,0,201,2273,2,1,8,0,1,1,"young"
"157",101,3,27,4,1,202,874,4,0,1,1,1,3,"young"
"158",101,3,28,8,0,212,4026,4,1,6,1,0,0,"young"
"159",101,3,29,6,1,202,1535,8,0,2,1,1,3,"young"
"160",101,3,30,2,0,201,763,6,1,2,0,1,1,"young"
